,nomes,idade,cidade,estado,cpf,cnpj,cpf_valido,cnpj_valido
26,Cheryl Daniel,81,ABREULÂNDIA,TO,41518337651,16558428654046,True,True
27,John Gutierrez,75,ACRELÂNDIA,AC,48579786444,51477910241483,True,True
28,Carla White,26,ÁGUA BRANCA,AL,87007608116,54785062054510,True,True
29,Scott Clark,86,ALVARÃES,AM,01086471296,22967376001699,True,True
30,Kelsey Hicks,22,SERRA DO NAVIO,AP,73800120704,54407698631932,True,True
31,Tanya Boyd,88,ABAÍRA,BA,35813255605,08803153461585,True,True
32,David Garcia,31,ABAIARA,CE,10210388811,65359727572419,True,True
33,Michelle Sullivan,45,BRASÍLIA,DF,60338450726,18355115649365,True,True
34,Paula Wells,55,AFONSO CLÁUDIO,ES,31166242919,41934462986603,True,True
35,Lisa Fisher,49,ABADIA DE GOIÁS,GO,33626344436,79856843725548,True,True
36,Kayla Martin,79,AÇAILÂNDIA,MA,49643966062,24202707261295,True,True
37,Kathryn Johnson,28,ABADIA DOS DOURADOS,MG,14503645510,14740883542900,True,True
38,Craig Wallace,51,ÁGUA CLARA,MS,72852203456,52726400968055,True,True
39,Haley Serrano,31,ACORIZAL,MT,00904064000,82175250951962,True,True
40,Thomas Lindsey,88,ABAETETUBA,PA,13577872004,47759550719238,True,True
41,Andrew Francis,69,ÁGUA BRANCA,PB,06694239980,52081659158337,True,True
42,Tiffany Dean,44,ABREU E LIMA,PE,10858476401,92164335193964,True,True
43,Michael Thompson,76,ACAUÃ,PI,75747818694,18684837331789,True,True
44,Dalton Summers,50,ABATIÁ,PR,09507015728,08475711599204,True,True
45,Debra Jennings,58,ANGRA DOS REIS,RJ,54816784896,69500353849608,True,True
46,Andrew Olson,88,ACARI,RN,99281336383,92393983639915,True,True
47,Sarah Brown,35,ALTA FLORESTA D'OESTE,RO,17281287224,41420682752383,True,True
48,Miranda Pittman,37,AMAJARI,RR,71722038012,59659930319931,True,True
49,Pamela Manning,68,ACEGUÁ,RS,00067814891,63100755162838,True,True
50,Ann Collins,18,ABDON BATISTA,SC,92848876310,50612600931565,True,True
51,Kimberly Garcia,60,AMPARO DE SÃO FRANCISCO,SE,52063020906,83818138763026,True,True
52,Billy Cross,81,ADAMANTINA,SP,25745426659,08698401812890,True,True
53,Charles Rivera,60,ABREULÂNDIA,TO,86569526502,18767344587421,True,True
54,Abigail Bradley,41,ACRELÂNDIA,AC,14120370852,75214984462157,True,True
55,Jared Hernandez,72,ÁGUA BRANCA,AL,51072799707,70268860094409,True,True
56,Scott Jackson,87,ALVARÃES,AM,79455779978,03183153323626,True,True
57,Gregory Brown,31,SERRA DO NAVIO,AP,66210964885,34139727088243,True,True
58,Kelly Jenkins,79,ABAÍRA,BA,63740436506,57302550382603,True,True
59,Craig Reynolds,82,ABAIARA,CE,44084897434,42490414458532,True,True
60,Cindy Brown,28,BRASÍLIA,DF,11561438537,89158131394480,True,True
61,Diana Armstrong,50,AFONSO CLÁUDIO,ES,21054162336,09255575472722,True,True
62,Travis Morris,35,ABADIA DE GOIÁS,GO,50975942239,96592493662984,True,True
63,Edwin Martin,44,AÇAILÂNDIA,MA,72655983262,41619731869500,True,True
64,Linda Vargas Md,62,ABADIA DOS DOURADOS,MG,66562524512,22415824790549,True,True
65,Brianna Francis,82,ÁGUA CLARA,MS,70450747000,64010620614680,True,True
66,Deborah Hill,33,ACORIZAL,MT,78461044894,12817923842072,True,True
67,Lindsey Koch,72,ABAETETUBA,PA,81900740834,31706819238930,True,True
68,Charles Yates,71,ÁGUA BRANCA,PB,65586683784,78616996600779,True,True
69,Matthew Martinez,85,ABREU E LIMA,PE,43986854304,21120314419212,True,True
70,Victor Bradley,77,ACAUÃ,PI,94252857058,47357837297302,True,True
71,Joshua Carr,25,ABATIÁ,PR,23939707112,05835122020570,True,True
72,Evan Cochran,68,ANGRA DOS REIS,RJ,70166695564,77938477219769,True,True
73,John Cline,62,ACARI,RN,48406074604,77536642656200,True,True
74,Sarah Ellis,20,ALTA FLORESTA D'OESTE,RO,11565659791,27017130239145,True,True
75,Amy Burnett,20,AMAJARI,RR,05461868665,78896522190996,True,True
76,Donald Edwards,48,ACEGUÁ,RS,96525798582,74381216820226,True,True
77,Michael Smith,30,ABDON BATISTA,SC,98860416680,13228968233809,True,True
78,Jordan Green,32,AMPARO DE SÃO FRANCISCO,SE,74265673627,93322502277502,True,True
79,Jennifer Perez,18,ADAMANTINA,SP,59999876447,67315158075059,True,True
80,Kimberly Berry,50,ABREULÂNDIA,TO,86157181648,67528221852023,True,True
81,Micheal Rhodes,64,ACRELÂNDIA,AC,01027123015,01567761068587,True,True
82,Maria Holt,23,ÁGUA BRANCA,AL,44011869902,76858860759935,True,True
83,Sara Lopez,87,ALVARÃES,AM,08215363628,06841435616413,True,True
84,Max Velasquez,21,SERRA DO NAVIO,AP,82095280172,94975675983705,True,True
85,Dawn Mcdonald,81,ABAÍRA,BA,05938215994,20546307325236,True,True
86,Brittany Brown,53,ABAIARA,CE,31627419713,55228737706506,True,True
87,Patricia Meyer Md,31,BRASÍLIA,DF,43243581338,68879919276985,True,True
88,David Ray,37,AFONSO CLÁUDIO,ES,29800343555,73864442851427,True,True
89,Anthony Gross,39,ABADIA DE GOIÁS,GO,96562118476,46241882129385,True,True
90,Brittany Valencia,67,AÇAILÂNDIA,MA,28914778045,10142766881853,True,True
91,Logan Powell,60,ABADIA DOS DOURADOS,MG,79208533204,80572131619808,True,True
92,Andrew Mckinney,44,ÁGUA CLARA,MS,12452990698,05750437593809,True,True
93,Leroy Murphy,70,ACORIZAL,MT,33613085690,14759051804990,True,True
94,Kevin Burton,58,ABAETETUBA,PA,98943583656,90281213128519,True,True
95,Gregory Hayes,58,ÁGUA BRANCA,PB,17490517290,31171027002548,True,True
96,Jose Campbell,53,ABREU E LIMA,PE,18078365330,80533226507844,True,True
97,Jeremy Decker,28,ACAUÃ,PI,15095314240,44638202708603,True,True
98,Jenny Perez,75,ABATIÁ,PR,57306797425,05479656870807,True,True
99,Billy Rodriguez,85,ANGRA DOS REIS,RJ,15845046254,45458605325033,True,True
100,Aaron Hamilton,73,ACARI,RN,10688335993,96004515083166,True,True
101,Kathryn Bullock,51,ALTA FLORESTA D'OESTE,RO,43297123931,94922644081407,True,True
102,Rebecca Rowe,51,AMAJARI,RR,49114313421,10272842504030,True,True
103,Kenneth Elliott,66,ACEGUÁ,RS,30165654554,94604763578359,True,True
104,David Hughes,63,ABDON BATISTA,SC,52734128381,58501967514246,True,True
105,Jason Rose,49,AMPARO DE SÃO FRANCISCO,SE,79161800570,81720719081859,True,True
106,Donald Paul,50,ADAMANTINA,SP,37156750399,43457897571340,True,True
107,Dawn Smith,26,ABREULÂNDIA,TO,99591451237,87072454946483,True,True
108,Peter Munoz,49,ACRELÂNDIA,AC,53949179224,12276654408988,True,True
109,Mrs. Yesenia Barrett,88,ÁGUA BRANCA,AL,74610210525,50800865697977,True,True
110,Paul Thomas,88,ALVARÃES,AM,23560148880,69485546986030,True,True
111,Dr. Jennifer Williams,36,SERRA DO NAVIO,AP,44331026108,48607469045482,True,True
112,Darlene Wagner,69,ABAÍRA,BA,59392936893,11025510922525,True,True
113,Hannah Snyder,40,ABAIARA,CE,53907880102,13540261869460,True,True
114,Christopher Young,38,BRASÍLIA,DF,24594975984,71848458367870,True,True
115,Tracy Dixon,25,AFONSO CLÁUDIO,ES,27102355440,39877727099541,True,True
116,Kathy Le,87,ABADIA DE GOIÁS,GO,29372127515,76533194657615,True,True
117,Keith Luna,68,AÇAILÂNDIA,MA,80907706819,27585581694200,True,True
118,Shannon Sweeney,77,ABADIA DOS DOURADOS,MG,64159559697,97541235412315,True,True
119,Elizabeth Bell,59,ÁGUA CLARA,MS,86267356345,66053445574233,True,True
120,Heidi Bradley,25,ACORIZAL,MT,56729505400,18466160426096,True,True
121,Terry Reed,61,ABAETETUBA,PA,51608865401,27132745372467,True,True
122,Diane Hernandez,41,ÁGUA BRANCA,PB,48111470576,40787478716700,True,True
123,Rachel Warren,33,ABREU E LIMA,PE,23376857210,29002233200112,True,True
124,Maria Williams,42,ACAUÃ,PI,01992242186,41141212436110,True,True
125,Anne Miller,77,ABATIÁ,PR,17120157701,77621947090119,True,True
126,Jennifer Lewis,22,ANGRA DOS REIS,RJ,78325186267,43532550380560,True,True
127,Michael Wright,43,ACARI,RN,30197762875,14820218734400,True,True
128,Brianna Robertson,53,ALTA FLORESTA D'OESTE,RO,89303268970,16406257442520,True,True
129,Melanie Robles,21,AMAJARI,RR,73948798010,95310373128058,True,True
130,Angela Williams,73,ACEGUÁ,RS,20273841890,30637559535113,True,True
131,Derek Young,21,ABDON BATISTA,SC,65502725219,66113865011107,True,True
132,Blake Cunningham,45,AMPARO DE SÃO FRANCISCO,SE,26809028587,61408220409971,True,True
133,Kelly Adams,44,ADAMANTINA,SP,86807627092,28686902548318,True,True
134,Deborah Thomas,69,ABREULÂNDIA,TO,84534791607,37602155361550,True,True
135,Crystal Trevino,66,ACRELÂNDIA,AC,09108571996,28098660785980,True,True
136,Denise West,44,ÁGUA BRANCA,AL,82636980148,20396929563240,True,True
137,Connie King,65,ALVARÃES,AM,88810344413,62060107406561,True,True
138,Andrew Alvarez,90,SERRA DO NAVIO,AP,20842441964,92817873519520,True,True
139,Michael Lewis,73,ABAÍRA,BA,00891731806,76409412012409,True,True
140,Sonia Alvarado,42,ABAIARA,CE,21276936478,93726855515266,True,True
141,Elizabeth Miller,79,BRASÍLIA,DF,72350990036,41178451869687,True,True
142,Marc Cook,72,AFONSO CLÁUDIO,ES,44359336403,31571856880272,True,True
143,Patricia Mendoza,51,ABADIA DE GOIÁS,GO,62029146889,20732732058505,True,True
144,Michael Garcia,23,AÇAILÂNDIA,MA,64633032240,41439568362343,True,True
145,Mr. Jesse Fletcher,21,ABADIA DOS DOURADOS,MG,81282149008,48249914729001,True,True
146,Kyle Mora,63,ÁGUA CLARA,MS,00614722047,29653942966322,True,True
147,Leah Garcia,44,ACORIZAL,MT,16103865077,36497348564044,True,True
148,Anna Harrison,73,ABAETETUBA,PA,78361187898,86839992732692,True,True
149,Alexander Hodges,89,ÁGUA BRANCA,PB,99647012764,95097510088121,True,True
150,Anita Hernandez,30,ABREU E LIMA,PE,77322953584,10132381555681,True,True
151,Elizabeth Sims,88,ACAUÃ,PI,87840476740,29335557552958,True,True
152,David Clark,80,ABATIÁ,PR,83791685422,51219853830691,True,True
153,Nicole Lewis,87,ANGRA DOS REIS,RJ,16921102840,17303237697749,True,True
154,Angela Zamora,30,ACARI,RN,07417379907,38400146863308,True,True
155,David Flores,28,ALTA FLORESTA D'OESTE,RO,96029631900,16724741990112,True,True
156,Kent Andrews,35,AMAJARI,RR,70884125513,97138536375774,True,True
157,Patricia Martinez,24,ACEGUÁ,RS,96758923827,96521677622226,True,True
158,Meghan Morrison,42,ABDON BATISTA,SC,47591143786,14217451447844,True,True
159,Annette Herrera,43,AMPARO DE SÃO FRANCISCO,SE,92247570062,96306007257904,True,True
160,Barbara Leon Md,73,ADAMANTINA,SP,05086323231,98992168836002,True,True
161,Justin Andersen,30,ABREULÂNDIA,TO,34245687088,26866823178760,True,True
162,Wesley Lee,28,ACRELÂNDIA,AC,79111554452,34205707583747,True,True
163,Jonathan Anderson,62,ÁGUA BRANCA,AL,14567033906,25564852664057,True,True
164,Kathy Bowman,82,ALVARÃES,AM,22382453672,38323943041584,True,True
165,Leah King,82,SERRA DO NAVIO,AP,57425502518,10007906232807,True,True
166,Nicholas Johnson,70,ABAÍRA,BA,18410328674,32981852682342,True,True
167,Matthew Fields,77,ABAIARA,CE,82777457883,50160746531098,True,True
168,Thomas Smith,63,BRASÍLIA,DF,16023528449,92512736753777,True,True
169,Sara James,40,AFONSO CLÁUDIO,ES,65550822598,35281439947766,True,True
170,Keith Robinson,80,ABADIA DE GOIÁS,GO,39214566143,66501166914304,True,True
171,Andrew Wood,86,AÇAILÂNDIA,MA,43987115629,32050721294848,True,True
172,Gordon Stephens,30,ABADIA DOS DOURADOS,MG,82547425610,36913960886848,True,True
173,Amy Davis,62,ÁGUA CLARA,MS,29745132470,64947184518795,True,True
174,Kristin Mcdaniel,79,ACORIZAL,MT,82761811208,64709072009818,True,True
175,Julie Thompson,57,ABAETETUBA,PA,53030519783,67505872613516,True,True
176,Steven Ramos,66,ÁGUA BRANCA,PB,36310656473,80984026508456,True,True
177,Allison Mueller,29,ABREU E LIMA,PE,28020391134,58190936196414,True,True
178,Donna Zimmerman,56,ACAUÃ,PI,15689286885,95164540498786,True,True
179,Kayla Curtis,78,ABATIÁ,PR,82852548011,95366516900234,True,True
180,Gary Pineda,42,ANGRA DOS REIS,RJ,12458789722,38287874622145,True,True
181,Lisa Baxter,24,ACARI,RN,68379697650,65357433374222,True,True
182,Michelle Wilson,27,ALTA FLORESTA D'OESTE,RO,27377207027,33963172192000,True,True
183,Pamela Black,55,AMAJARI,RR,54283791466,08157026681165,True,True
184,Michael Boyd,41,ACEGUÁ,RS,31063350093,27199674682605,True,True
185,Carolyn Taylor,62,ABDON BATISTA,SC,54042845525,89986256634645,True,True
186,Nathan Floyd,76,AMPARO DE SÃO FRANCISCO,SE,11772208140,92625646258864,True,True
187,Stephen Torres,48,ADAMANTINA,SP,92254599470,51006075009924,True,True
188,Emily Wilson,86,ABREULÂNDIA,TO,57057488769,96720214047760,True,True
189,Amanda Hobbs,80,ACRELÂNDIA,AC,05055277580,54492254062557,True,True
190,Randy Bailey,32,ÁGUA BRANCA,AL,53066383415,40303858573425,True,True
191,Heather Mccarthy,42,ALVARÃES,AM,61865290700,86838303214241,True,True
192,William Davis,82,SERRA DO NAVIO,AP,28870789330,03081296955933,True,True
193,Devin Morris,38,ABAÍRA,BA,19435641679,76472727172260,True,True
194,Jenna White,32,ABAIARA,CE,72407555252,40260403080600,True,True
195,Kimberly Sherman,77,BRASÍLIA,DF,73212451955,02500244436617,True,True
196,David Mitchell,36,AFONSO CLÁUDIO,ES,72992871702,02121349200971,True,True
197,Victoria Sweeney,30,ABADIA DE GOIÁS,GO,75146548013,75527460849622,True,True
198,Patrick Johnson,72,AÇAILÂNDIA,MA,75069665227,80060366416537,True,True
199,Kevin Miller,33,ABADIA DOS DOURADOS,MG,27921075533,87627534085606,True,True
200,Lauren Morrison,76,ÁGUA CLARA,MS,25053233136,33874640779675,True,True
201,Bridget Jones,37,ACORIZAL,MT,52210218977,69774398704001,True,True
202,Joseph Rios,63,ABAETETUBA,PA,73693717605,84169834445400,True,True
203,Julie Walls,49,ÁGUA BRANCA,PB,28426029353,17121235479235,True,True
204,John Martinez,55,ABREU E LIMA,PE,24865138099,38279342891493,True,True
205,David Martinez,25,ACAUÃ,PI,60533839378,84780241685002,True,True
206,Seth Shea,87,ABATIÁ,PR,08800362907,49405163953922,True,True
207,Jaclyn Daniels,57,ANGRA DOS REIS,RJ,67643003050,46293293704892,True,True
208,Darrell Smith,80,ACARI,RN,99103515524,25226377457801,True,True
209,Joseph Williams,23,ALTA FLORESTA D'OESTE,RO,67827753604,89386233730232,True,True
210,Michelle Schmidt,40,AMAJARI,RR,02584310759,31364364069621,True,True
211,Christopher Crane,63,ACEGUÁ,RS,53198067014,14409710614409,True,True
212,Melody Arnold,28,ABDON BATISTA,SC,99587407024,70289857870560,True,True
213,Frank Miller,35,AMPARO DE SÃO FRANCISCO,SE,21086642708,05601484952360,True,True
214,Kelli Poole,22,ADAMANTINA,SP,34228364209,97538603622850,True,True
215,Brian Grant,40,ABREULÂNDIA,TO,25926134390,89905193753905,True,True
216,Alan Juarez,81,ACRELÂNDIA,AC,24323027451,06116849575430,True,True
217,Jennifer Herrera,44,ÁGUA BRANCA,AL,05944330538,44338019631100,True,True
218,Michael Anderson,47,ALVARÃES,AM,25816374206,04705908871616,True,True
219,Mr. Derrick Walker Iii,67,SERRA DO NAVIO,AP,86709815722,72983983233406,True,True
220,Lisa Adams,56,ABAÍRA,BA,17102683367,07752430833070,True,True
221,Phyllis Davis,81,ABAIARA,CE,10941674363,25441970136802,True,True
222,Kimberly Gaines,26,BRASÍLIA,DF,58990464145,51208722841996,True,True
223,Erika White,39,AFONSO CLÁUDIO,ES,86455095987,50531473539297,True,True
224,Stephanie Petersen,32,ABADIA DE GOIÁS,GO,20318573202,32598177031430,True,True
225,Timothy Thomas,57,AÇAILÂNDIA,MA,22135657409,83845376709590,True,True
226,Travis Griffin,23,ABADIA DOS DOURADOS,MG,19965886725,92969475277410,True,True
227,John Robinson,31,ÁGUA CLARA,MS,80671201379,08547368162755,True,True
228,Emily Smith,79,ACORIZAL,MT,31530403626,30097397584110,True,True
229,Tyler Fernandez,26,ABAETETUBA,PA,66089333204,85336615215932,True,True
230,Steven Martinez,37,ÁGUA BRANCA,PB,75262527701,99235616826457,True,True
231,Meghan Coffey,63,ABREU E LIMA,PE,66635918191,47268825370408,True,True
232,John Holmes,85,ACAUÃ,PI,07291253276,25881963791528,True,True
233,Jordan Brock,61,ABATIÁ,PR,29341177405,04081082954281,True,True
234,Stephanie Mendez,66,ANGRA DOS REIS,RJ,04752838800,82804534288805,True,True
235,Adrian Bryant,33,ACARI,RN,01562495020,97740191451412,True,True
236,Jose Burton,65,ALTA FLORESTA D'OESTE,RO,59565808875,35151610774001,True,True
237,Christopher Knight,76,AMAJARI,RR,85213801277,70860699845790,True,True
238,Tiffany Carrillo,61,ACEGUÁ,RS,47122359344,67964379096560,True,True
239,John Mcdonald,44,ABDON BATISTA,SC,26459873704,41080118373937,True,True
240,Dalton Pierce,32,AMPARO DE SÃO FRANCISCO,SE,77939530534,49747484805124,True,True
241,Michael Castillo,89,ADAMANTINA,SP,11161836179,76065114066603,True,True
242,Amanda Barnett,37,ABREULÂNDIA,TO,29594053828,98967609682620,True,True
243,Jeffrey King,90,ACRELÂNDIA,AC,50066235944,15245381240961,True,True
244,Alex Murphy,34,ÁGUA BRANCA,AL,83064446398,19340044456087,True,True
245,Ryan Greene,82,ALVARÃES,AM,88527388600,20318973896125,True,True
246,Jennifer Bridges,26,SERRA DO NAVIO,AP,53239536242,53269139784690,True,True
247,Gregory Hughes,26,ABAÍRA,BA,99036807670,88470340152903,True,True
248,John Marshall,60,ABAIARA,CE,98671530817,13776589478708,True,True
249,Carol Perkins,24,BRASÍLIA,DF,34498482166,69068120112863,True,True
250,Julie Delgado,81,AFONSO CLÁUDIO,ES,62640338471,90383600838857,True,True
251,Hannah Hines,32,ABADIA DE GOIÁS,GO,20925286702,56685168062758,True,True
252,Joseph Gray,30,AÇAILÂNDIA,MA,45049201152,83634083265908,True,True
253,Christopher Harper,75,ABADIA DOS DOURADOS,MG,96242416190,53504090391121,True,True
254,Jason Williams,45,ÁGUA CLARA,MS,01081434490,25372710988314,True,True
255,Michael Taylor,52,ACORIZAL,MT,20428558984,23175643888440,True,True
256,Ashley Edwards,89,ABAETETUBA,PA,98621300753,45128781305324,True,True
257,Stacey Harris,64,ÁGUA BRANCA,PB,67999957410,86389884893405,True,True
258,Mary Mendez,37,ABREU E LIMA,PE,83291155939,86650022725516,True,True
259,Lynn Hancock Md,44,ACAUÃ,PI,48776888118,96434425424972,True,True
260,David Stevens,89,ABATIÁ,PR,62636269177,84064557299700,True,True
261,Anthony Jones,49,ANGRA DOS REIS,RJ,34492787119,42082003216920,True,True
262,Kelly Pena,59,ACARI,RN,08890379650,23232921240305,True,True
263,Michelle Bennett,51,ALTA FLORESTA D'OESTE,RO,50310567467,43603711768029,True,True
264,James Li,40,AMAJARI,RR,04812150426,93917858098821,True,True
265,Michael Thomas,87,ACEGUÁ,RS,24543065654,07723578866503,True,True
266,Bethany Diaz,27,ABDON BATISTA,SC,62099648506,00003495644263,True,True
267,Anthony Howard,57,AMPARO DE SÃO FRANCISCO,SE,83669510656,64352959508474,True,True
268,Carlos Payne,61,ADAMANTINA,SP,35122289093,13257452253494,True,True
269,Craig Walker,71,ABREULÂNDIA,TO,74257783192,20137525954931,True,True
270,Kyle Williams,81,ACRELÂNDIA,AC,91581794886,53415639743407,True,True
271,Roy Townsend,48,ÁGUA BRANCA,AL,08507983375,76387898355108,True,True
272,Joseph Elliott,37,ALVARÃES,AM,99115506134,67475348317819,True,True
273,Joseph Ho,28,SERRA DO NAVIO,AP,49329225829,16966018967679,True,True
274,Darrell Sexton,51,ABAÍRA,BA,15368324219,61946809829469,True,True
275,Joseph Turner,87,ABAIARA,CE,30858177358,66737056871787,True,True
276,Heather Thomas,64,BRASÍLIA,DF,98851634769,68313717263993,True,True
277,Dawn Jones,21,AFONSO CLÁUDIO,ES,91183244100,87742757986093,True,True
278,Manuel Frank,69,ABADIA DE GOIÁS,GO,13163936237,48469721905808,True,True
279,Paul Brennan,47,AÇAILÂNDIA,MA,29019278231,37793898062990,True,True
280,Erin Obrien,18,ABADIA DOS DOURADOS,MG,56139719860,04451999609124,True,True
281,Peter Jackson,74,ÁGUA CLARA,MS,10433110090,57978318055141,True,True
282,Susan Silva,61,ACORIZAL,MT,02242021460,41574152054277,True,True
283,Madeline Hill,28,ABAETETUBA,PA,76762652824,87230981043380,True,True
284,Mr. Charles Schwartz,47,ÁGUA BRANCA,PB,01473369290,78060778010570,True,True
285,Melissa Petersen,90,ABREU E LIMA,PE,92665808641,23803319894828,True,True
286,Kathryn Fowler,39,ACAUÃ,PI,17694391294,34971771669889,True,True
287,Shane Villa,59,ABATIÁ,PR,79415329998,51204149855650,True,True
288,Heather Mosley,84,ANGRA DOS REIS,RJ,73696720852,92484077361979,True,True
289,Michael Benson,20,ACARI,RN,56297605300,95009048358993,True,True
290,Joel Kelly,73,ALTA FLORESTA D'OESTE,RO,75297450500,70150966108048,True,True
291,Miss Christine Allen Dvm,31,AMAJARI,RR,63331267805,37874234002111,True,True
292,Jose Jenkins,73,ACEGUÁ,RS,66424092307,95869381658771,True,True
293,David Gill,81,ABDON BATISTA,SC,65601866953,16777448762676,True,True
294,Aaron Franco,33,AMPARO DE SÃO FRANCISCO,SE,64379535517,52729900630864,True,True
295,Allen Powell,90,ADAMANTINA,SP,28146746330,75062174631412,True,True
296,Amber Taylor,41,ABREULÂNDIA,TO,10401840492,27510140066930,True,True
297,Vanessa Haynes,32,ACRELÂNDIA,AC,75791090854,64644828102910,True,True
298,Darren Davis,61,ÁGUA BRANCA,AL,11841573329,80592980588081,True,True
299,Daniel Davis,45,ALVARÃES,AM,80610637355,91637625761158,True,True
300,William Morales,22,SERRA DO NAVIO,AP,26217700379,39881898166918,True,True
301,Christina Simpson,67,ABAÍRA,BA,83852685370,93064181937780,True,True
302,Kevin Wright,75,ABAIARA,CE,24326051442,68004443313214,True,True
303,Adam Cannon,67,BRASÍLIA,DF,97123605390,38051143111517,True,True
304,Jason Hall,58,AFONSO CLÁUDIO,ES,20821547348,12558696147768,True,True
305,Matthew Wagner,67,ABADIA DE GOIÁS,GO,55234980170,58608836326776,True,True
306,Colleen Hall,41,AÇAILÂNDIA,MA,08946760915,38721671317231,True,True
307,Robert Smith,61,ABADIA DOS DOURADOS,MG,87241892437,70885137114755,True,True
308,Ashley Nash,67,ÁGUA CLARA,MS,19486718750,87875762986740,True,True
309,Jennifer Sullivan,60,ACORIZAL,MT,09588951712,62350742993772,True,True
310,Daisy Herrera,37,ABAETETUBA,PA,49166470684,40849370899506,True,True
311,Joshua Garcia,85,ÁGUA BRANCA,PB,71461682045,91915626999105,True,True
312,William Joseph,49,ABREU E LIMA,PE,32100992864,17806292816432,True,True
313,Jackie Ford,22,ACAUÃ,PI,72634458401,24836512266932,True,True
314,Laura Wagner,55,ABATIÁ,PR,17016662608,21142998414880,True,True
315,Justin Day,23,ANGRA DOS REIS,RJ,65453295708,80358716562011,True,True
316,Chloe Lambert,76,ACARI,RN,17895378864,80378236559224,True,True
317,Gary Christensen,53,ALTA FLORESTA D'OESTE,RO,48442882456,37749502065175,True,True
318,Virginia Thomas,20,AMAJARI,RR,21988421578,38277737307879,True,True
319,Nicole Spence,33,ACEGUÁ,RS,35001275768,39119095680306,True,True
320,Bryan Arellano,58,ABDON BATISTA,SC,73551845719,26593989986970,True,True
321,Thomas Thompson,34,AMPARO DE SÃO FRANCISCO,SE,95227612064,24497914052801,True,True
322,Tony Murphy,66,ADAMANTINA,SP,09163622211,32375015123710,True,True
323,Jamie Jones,23,ABREULÂNDIA,TO,10635967260,34835066619750,True,True
324,Robert Fisher Md,25,ACRELÂNDIA,AC,55176696975,94065124126208,True,True
325,Calvin Reed,54,ÁGUA BRANCA,AL,47291646367,39441010858801,True,True
326,Robert Miller,53,ALVARÃES,AM,68554430280,87947728765053,True,True
327,Kayla Phillips,89,SERRA DO NAVIO,AP,75058963779,01865847744559,True,True
328,Barbara Holmes,78,ABAÍRA,BA,44670865366,58745957110163,True,True
329,Samantha Davis Md,85,ABAIARA,CE,57902279889,88129970763624,True,True
330,John Davis,26,BRASÍLIA,DF,92317078170,02732745199155,True,True
331,Larry Davis,80,AFONSO CLÁUDIO,ES,50732990270,55545407243846,True,True
332,Scott Cain,70,ABADIA DE GOIÁS,GO,41784856878,44644314065652,True,True
333,Ashley Macias,76,AÇAILÂNDIA,MA,96871887318,12095491285169,True,True
334,Robert Fuller,87,ABADIA DOS DOURADOS,MG,11624364250,81339061208252,True,True
335,Maria Howard,68,ÁGUA CLARA,MS,84699870384,52807316156100,True,True
336,Dustin Green,88,ACORIZAL,MT,67873185290,79071773310738,True,True
337,Colleen Thompson,21,ABAETETUBA,PA,34611438201,84460646065278,True,True
338,Joshua Ritter,69,ÁGUA BRANCA,PB,70967866359,31157373683315,True,True
